rute,zonasi,bulan,jumlah_bus,jumlah_penumpang
ZONA 1,ZONASI PONDOK GEDE - HALIM- CONDET - RANCHO,9,105,17670
ZONA 2,ZONASI KP.MELAYU - RAWAMANGUN,9,87,13361
ZONA 3,ZONASI TERMINAL KALIDERES - KAMAL,9,74,6963
ZONA 4,ZONASI KALIDERES -SEMANAN-DURIKOSAMBI,9,107,12334
ZONA 5,ZONASI PULO GADUNG-MARDANI-PASEBAN,9,73,9328
ZONA 6,ZONASI CAWANG - PEJATEN - RAGUNAN,9,62,5858
ZONA 7,ZONASI RAWAMANGUN - CIKINI - LP.BANTENG,9,75,7921
ZONA 8,ZONASI LUBANG BUAYA - DUKU.5 - KP.RAMBUTAN - RANCO,9,72,6735
ZONA 9,ZONASI MARUNDA - ROROTAN,9,56,8136
ZONA 10,ZONASI MARUNDA - CILINCING,9,51,6163
ZONA 11,ZONASI - RUSUN KAPUK - CIDENG,9,37,4836
RUTE 1,LAP.BANTENG - GALUR -P.KEMERDEKAAN,9,111,25947
RUTE 2,PLUMPANG - SUNTER - KEMAYORAN,9,104,17247
RUTE 3,GANDARIA - H E K - TMII,9,109,23129
RUTE 4,PERINTIS KEMERDEKAAN - PULO GADUNG- PONDOK KOPI,9,146,33612
RUTE 4A,PULO GADUNG - PONDOK KOPI,9,0,0
RUTE 5,KAMPUNG MELAYU - TMII - CEGER,9,152,32759
RUTE 6,PS.MINGGU - MAMPANG PRAPATAN - KEBAYORAN PTIK,9,79,14647
RUTE 7,PASAR MINGGU - RANCO - LT.AGUNG - UI,9,121,34904
RUTE 8,PS. MINGGU - PANCORAN - MANGGARAI,9,92,13998
RUTE 9,CILINCING - PLUMPANG -P.KEMERDEKAAN,9,38,7532
RUTE 10,KAMPUNG MELAYU - LAPANGAN BANTENG,9,64,12396
RUTE 11,BLOK.M - CILEDUK,9,86,13369
RUTE 12,TERMINAL KALIDERES - GAJAH MADA,9,111,29790
RUTE 13,PULO GADUNG -  PONDOK BAMBU -CAWANG,9,104,15401
RUTE 14,BLOK. M - PONDOK LABU,9,82,15659
RUTE 15,TEBET - PONDOK KOPI,9,75,14070
RUTE 16,RUSUN MUARA BARU - GROGOL,9,55,12476
RUTE 17,MUARA BARU- MUARA ANGKE,9,53,13221
RUTE 18,TEBET - MAMPANG PRAPATAN - RAGUNAN,9,10,939
RUTE 19,MANGGARAI - MAMPANG PRAPATAN- PS MINGGU,9,8,1078
